Kecamatan,Kelurahan,Islam,Kristen,Katolik,Hindu,Budha,Konghucu,Kepercayaan
Andir,Campaka,16950,1056,234,7,36,0,0
Andir,Ciroyom,17984,1180,495,0,217,3,0
Andir,Dungus Cariang,16619,1467,470,10,200,1,0
Andir,Garuda,9520,787,308,1,83,1,9
Andir,Kebon Jeruk,7329,2878,883,4,530,0,0
Andir,Maleber,16825,2223,843,28,194,3,0
Antapani,Antapani Kidul,23054,1496,677,51,46,1,1
Antapani,Antapani Kulon,10280,456,152,7,18,0,0
Antapani,Antapani Tengah,21960,1198,474,25,22,1,1
Antapani,Antapani Wetan,17406,971,480,14,25,0,1
Arcamanik,Cisaranten Bina Harapan,11691,262,104,8,2,0,0
Arcamanik,Cisaranten Kulon,22596,719,249,20,20,0,0
Arcamanik,Sindanglaya/Cisantren Endah,18262,869,445,31,15,0,0
Arcamanik,Sukamiskin,19523,1371,653,52,21,0,0
Astana Anyar,Cibadak,8916,3347,693,5,417,4,0
Astana Anyar,Karanganyar,3741,1772,676,8,547,3,0
Astana Anyar,Karasak,11597,1337,550,9,151,4,2
Astana Anyar,Nyengseret,10473,1201,325,6,242,1,0
Astana Anyar,Panjunan,6280,928,249,0,174,0,0
Astana Anyar,Pelindung Hewan,18396,1372,469,0,152,1,1
Babakan Ciparay,Babakan,27405,1770,916,6,155,1,0
Babakan Ciparay,Babakan Ciparay,30873,1435,521,3,93,0,0
Babakan Ciparay,Cirangrang,10500,570,218,0,53,0,4
Babakan Ciparay,Margahayu Utara,20609,1238,368,10,104,4,0
Babakan Ciparay,Margasuka,11052,612,177,4,62,1,0
Babakan Ciparay,Sukahaji,27353,2249,725,2,280,0,1
Bandung Kidul,Batununggal,17682,845,590,13,85,4,0
Bandung Kidul,Kujangsari,21257,469,135,5,16,0,0
Bandung Kidul,Mengger,8414,1260,1079,29,133,4,0
Bandung Kidul,Wates,7742,288,73,0,4,0,2
Bandung Kulon,Caringin,8140,869,272,6,88,2,0
Bandung Kulon,Cibuntu,17434,753,150,0,89,0,0
Bandung Kulon,Cigondewah Kaler,18408,790,273,1,93,0,0
Bandung Kulon,Cigondewah Kidul,6528,1742,622,4,207,2,0
Bandung Kulon,Cigondewah Rahayu,8202,1394,489,0,168,0,0
Bandung Kulon,Cijerah,22504,1191,346,7,99,5,0
